arch type  mix	threads	ms	ops	
AMD EBS	50-50	1	555	5000000
AMD EBS	50-50	1	547	5000000
AMD EBS	50-50	1	555	5000000
AMD EBS	50-50	1	554	5000000
AMD EBS	50-50	1	548	5000000
AMD EBS	50-50	1	554	5000000
AMD EBS	50-50	1	547	5000000
AMD EBS	50-50	1	554	5000000
AMD EBS	50-50	1	555	5000000
AMD EBS	50-50	1	556	5000000
AMD EBS	50-50	2	556	5000000
AMD EBS	50-50	2	553	5000000
AMD EBS	50-50	2	552	5000000
AMD EBS	50-50	2	557	5000000
AMD EBS	50-50	2	554	5000000
AMD EBS	50-50	2	556	5000000
AMD EBS	50-50	2	557	5000000
AMD EBS	50-50	2	551	5000000
AMD EBS	50-50	2	548	5000000
AMD EBS	50-50	2	554	5000000
AMD EBS	50-50	3	552	5000000
AMD EBS	50-50	3	553	5000000
AMD EBS	50-50	3	555	5000000
AMD EBS	50-50	3	552	5000000
AMD EBS	50-50	3	553	5000000
AMD EBS	50-50	3	556	5000000
AMD EBS	50-50	3	556	5000000
AMD EBS	50-50	3	555	5000000
AMD EBS	50-50	3	551	5000000
AMD EBS	50-50	3	555	5000000
AMD EBS	50-50	4	558	5000000
AMD EBS	50-50	4	557	5000000
AMD EBS	50-50	4	559	5000000
AMD EBS	50-50	4	555	5000000
AMD EBS	50-50	4	555	5000000
AMD EBS	50-50	4	556	5000000
AMD EBS	50-50	4	564	5000000
AMD EBS	50-50	4	559	5000000
AMD EBS	50-50	4	553	5000000
AMD EBS	50-50	4	559	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	572	5000000
AMD EBS	50-50	5	561	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	561	5000000
AMD EBS	50-50	5	559	5000000
AMD EBS	50-50	5	556	5000000
AMD EBS	50-50	5	558	5000000
AMD EBS	50-50	6	567	5000000
AMD EBS	50-50	6	596	5000000
AMD EBS	50-50	6	630	5000000
AMD EBS	50-50	6	618	5000000
AMD EBS	50-50	6	645	5000000
AMD EBS	50-50	6	594	5000000
AMD EBS	50-50	6	602	5000000
AMD EBS	50-50	6	631	5000000
AMD EBS	50-50	6	574	5000000
AMD EBS	50-50	6	579	5000000
AMD EBS	50-50	7	593	5000000
AMD EBS	50-50	7	623	5000000
AMD EBS	50-50	7	646	5000000
AMD EBS	50-50	7	653	5000000
AMD EBS	50-50	7	658	5000000
AMD EBS	50-50	7	648	5000000
AMD EBS	50-50	7	654	5000000
AMD EBS	50-50	7	670	5000000
AMD EBS	50-50	7	642	5000000
AMD EBS	50-50	7	677	5000000
AMD EBS	50-50	8	652	5000000
AMD EBS	50-50	8	664	5000000
AMD EBS	50-50	8	672	5000000
AMD EBS	50-50	8	652	5000000
AMD EBS	50-50	8	661	5000000
AMD EBS	50-50	8	679	5000000
AMD EBS	50-50	8	677	5000000
AMD EBS	50-50	8	641	5000000
AMD EBS	50-50	8	646	5000000
AMD EBS	50-50	8	648	5000000
AMD EBS	50-50	9	672	5000000
AMD EBS	50-50	9	639	5000000
AMD EBS	50-50	9	660	5000000
AMD EBS	50-50	9	670	5000000
AMD EBS	50-50	9	674	5000000
AMD EBS	50-50	9	677	5000000
AMD EBS	50-50	9	674	5000000
AMD EBS	50-50	9	678	5000000
AMD EBS	50-50	9	656	5000000
AMD EBS	50-50	9	674	5000000
AMD EBS	50-50	10	704	5000000
AMD EBS	50-50	10	690	5000000
AMD EBS	50-50	10	673	5000000
AMD EBS	50-50	10	689	5000000
AMD EBS	50-50	10	652	5000000
AMD EBS	50-50	10	666	5000000
AMD EBS	50-50	10	687	5000000
AMD EBS	50-50	10	707	5000000
AMD EBS	50-50	10	680	5000000
AMD EBS	50-50	10	699	5000000
AMD EBS	50-50	11	689	5000000
AMD EBS	50-50	11	710	5000000
AMD EBS	50-50	11	721	5000000
AMD EBS	50-50	11	683	5000000
AMD EBS	50-50	11	713	5000000
AMD EBS	50-50	11	714	5000000
AMD EBS	50-50	11	692	5000000
AMD EBS	50-50	11	710	5000000
AMD EBS	50-50	11	715	5000000
AMD EBS	50-50	11	709	5000000
AMD EBS	50-50	12	737	5000000
AMD EBS	50-50	12	713	5000000
AMD EBS	50-50	12	726	5000000
AMD EBS	50-50	12	714	5000000
AMD EBS	50-50	12	726	5000000
AMD EBS	50-50	12	726	5000000
AMD EBS	50-50	12	720	5000000
AMD EBS	50-50	12	735	5000000
AMD EBS	50-50	12	728	5000000
AMD EBS	50-50	12	724	5000000
AMD EBS	50-50	13	753	5000000
AMD EBS	50-50	13	737	5000000
AMD EBS	50-50	13	731	5000000
AMD EBS	50-50	13	740	5000000
AMD EBS	50-50	13	744	5000000
AMD EBS	50-50	13	738	5000000
AMD EBS	50-50	13	743	5000000
AMD EBS	50-50	13	741	5000000
AMD EBS	50-50	13	745	5000000
AMD EBS	50-50	13	734	5000000
AMD EBS	50-50	14	758	5000000
AMD EBS	50-50	14	753	5000000
AMD EBS	50-50	14	760	5000000
AMD EBS	50-50	14	746	5000000
AMD EBS	50-50	14	752	5000000
AMD EBS	50-50	14	756	5000000
AMD EBS	50-50	14	755	5000000
AMD EBS	50-50	14	757	5000000
AMD EBS	50-50	14	752	5000000
AMD EBS	50-50	14	762	5000000
AMD EBS	50-50	15	765	5000000
AMD EBS	50-50	15	770	5000000
AMD EBS	50-50	15	769	5000000
AMD EBS	50-50	15	768	5000000
AMD EBS	50-50	15	764	5000000
AMD EBS	50-50	15	769	5000000
AMD EBS	50-50	15	763	5000000
AMD EBS	50-50	15	772	5000000
AMD EBS	50-50	15	765	5000000
AMD EBS	50-50	15	763	5000000
AMD EBS	50-50	16	767	5000000
AMD EBS	50-50	16	771	5000000
AMD EBS	50-50	16	769	5000000
AMD EBS	50-50	16	773	5000000
AMD EBS	50-50	16	770	5000000
AMD EBS	50-50	16	768	5000000
AMD EBS	50-50	16	774	5000000
AMD EBS	50-50	16	775	5000000
AMD EBS	50-50	16	774	5000000
AMD EBS	50-50	16	765	5000000
AMD EBS	50-50	17	757	5000000
AMD EBS	50-50	17	765	5000000
AMD EBS	50-50	17	768	5000000
AMD EBS	50-50	17	766	5000000
AMD EBS	50-50	17	776	5000000
AMD EBS	50-50	17	757	5000000
AMD EBS	50-50	17	762	5000000
AMD EBS	50-50	17	766	5000000
AMD EBS	50-50	17	762	5000000
AMD EBS	50-50	17	761	5000000
AMD EBS	50-50	18	759	5000000
AMD EBS	50-50	18	759	5000000
AMD EBS	50-50	18	764	5000000
AMD EBS	50-50	18	763	5000000
AMD EBS	50-50	18	758	5000000
AMD EBS	50-50	18	756	5000000
AMD EBS	50-50	18	765	5000000
AMD EBS	50-50	18	767	5000000
AMD EBS	50-50	18	756	5000000
AMD EBS	50-50	18	759	5000000
AMD EBS	50-50	19	749	5000000
AMD EBS	50-50	19	758	5000000
AMD EBS	50-50	19	754	5000000
AMD EBS	50-50	19	756	5000000
AMD EBS	50-50	19	761	5000000
AMD EBS	50-50	19	755	5000000
AMD EBS	50-50	19	758	5000000
AMD EBS	50-50	19	760	5000000
AMD EBS	50-50	19	750	5000000
AMD EBS	50-50	19	755	5000000
AMD EBS	50-50	20	752	5000000
AMD EBS	50-50	20	755	5000000
AMD EBS	50-50	20	753	5000000
AMD EBS	50-50	20	753	5000000
AMD EBS	50-50	20	754	5000000
AMD EBS	50-50	20	753	5000000
AMD EBS	50-50	20	752	5000000
AMD EBS	50-50	20	753	5000000
AMD EBS	50-50	20	754	5000000
AMD EBS	50-50	20	757	5000000
AMD EBS	50-50	21	758	5000000
AMD EBS	50-50	21	753	5000000
AMD EBS	50-50	21	753	5000000
AMD EBS	50-50	21	757	5000000
AMD EBS	50-50	21	754	5000000
AMD EBS	50-50	21	760	5000000
AMD EBS	50-50	21	753	5000000
AMD EBS	50-50	21	759	5000000
AMD EBS	50-50	21	753	5000000
AMD EBS	50-50	21	755	5000000
AMD EBS	50-50	22	754	5000000
AMD EBS	50-50	22	755	5000000
AMD EBS	50-50	22	757	5000000
AMD EBS	50-50	22	754	5000000
AMD EBS	50-50	22	753	5000000
AMD EBS	50-50	22	755	5000000
AMD EBS	50-50	22	757	5000000
AMD EBS	50-50	22	750	5000000
AMD EBS	50-50	22	755	5000000
AMD EBS	50-50	22	751	5000000
AMD EBS	50-50	23	756	5000000
AMD EBS	50-50	23	757	5000000
AMD EBS	50-50	23	758	5000000
AMD EBS	50-50	23	758	5000000
AMD EBS	50-50	23	757	5000000
AMD EBS	50-50	23	770	5000000
AMD EBS	50-50	23	760	5000000
AMD EBS	50-50	23	753	5000000
AMD EBS	50-50	23	751	5000000
AMD EBS	50-50	23	757	5000000
AMD EBS	50-50	24	760	5000000
AMD EBS	50-50	24	759	5000000
AMD EBS	50-50	24	760	5000000
AMD EBS	50-50	24	754	5000000
AMD EBS	50-50	24	759	5000000
AMD EBS	50-50	24	756	5000000
AMD EBS	50-50	24	757	5000000
AMD EBS	50-50	24	756	5000000
AMD EBS	50-50	24	763	5000000
AMD EBS	50-50	24	761	5000000
AMD EBS	50-50	25	761	5000000
AMD EBS	50-50	25	766	5000000
AMD EBS	50-50	25	765	5000000
AMD EBS	50-50	25	763	5000000
AMD EBS	50-50	25	762	5000000
AMD EBS	50-50	25	760	5000000
AMD EBS	50-50	25	761	5000000
AMD EBS	50-50	25	761	5000000
AMD EBS	50-50	25	757	5000000
AMD EBS	50-50	25	754	5000000
AMD EBS	50-50	26	770	5000000
AMD EBS	50-50	26	776	5000000
AMD EBS	50-50	26	760	5000000
AMD EBS	50-50	26	759	5000000
AMD EBS	50-50	26	765	5000000
AMD EBS	50-50	26	767	5000000
AMD EBS	50-50	26	761	5000000
AMD EBS	50-50	26	757	5000000
AMD EBS	50-50	26	770	5000000
AMD EBS	50-50	26	760	5000000
AMD EBS	50-50	27	762	5000000
AMD EBS	50-50	27	788	5000000
AMD EBS	50-50	27	762	5000000
AMD EBS	50-50	27	760	5000000
AMD EBS	50-50	27	775	5000000
AMD EBS	50-50	27	767	5000000
AMD EBS	50-50	27	779	5000000
AMD EBS	50-50	27	764	5000000
AMD EBS	50-50	27	768	5000000
AMD EBS	50-50	27	767	5000000
AMD EBS	50-50	28	784	5000000
AMD EBS	50-50	28	773	5000000
AMD EBS	50-50	28	776	5000000
AMD EBS	50-50	28	781	5000000
AMD EBS	50-50	28	763	5000000
AMD EBS	50-50	28	760	5000000
AMD EBS	50-50	28	779	5000000
AMD EBS	50-50	28	766	5000000
AMD EBS	50-50	28	765	5000000
AMD EBS	50-50	28	767	5000000
AMD EBS	50-50	29	790	5000000
AMD EBS	50-50	29	775	5000000
AMD EBS	50-50	29	773	5000000
AMD EBS	50-50	29	765	5000000
AMD EBS	50-50	29	767	5000000
AMD EBS	50-50	29	766	5000000
AMD EBS	50-50	29	772	5000000
AMD EBS	50-50	29	774	5000000
AMD EBS	50-50	29	780	5000000
AMD EBS	50-50	29	772	5000000
AMD EBS	50-50	30	767	5000000
AMD EBS	50-50	30	773	5000000
AMD EBS	50-50	30	771	5000000
AMD EBS	50-50	30	772	5000000
AMD EBS	50-50	30	776	5000000
AMD EBS	50-50	30	765	5000000
AMD EBS	50-50	30	766	5000000
AMD EBS	50-50	30	771	5000000
AMD EBS	50-50	30	777	5000000
AMD EBS	50-50	30	772	5000000
AMD EBS	50-50	31	769	5000000
AMD EBS	50-50	31	769	5000000
AMD EBS	50-50	31	767	5000000
AMD EBS	50-50	31	775	5000000
AMD EBS	50-50	31	772	5000000
AMD EBS	50-50	31	769	5000000
AMD EBS	50-50	31	777	5000000
AMD EBS	50-50	31	773	5000000
AMD EBS	50-50	31	782	5000000
AMD EBS	50-50	31	771	5000000
AMD EBS	50-50	32	773	5000000
AMD EBS	50-50	32	776	5000000
AMD EBS	50-50	32	786	5000000
AMD EBS	50-50	32	774	5000000
AMD EBS	50-50	32	775	5000000
AMD EBS	50-50	32	781	5000000
AMD EBS	50-50	32	773	5000000
AMD EBS	50-50	32	780	5000000
AMD EBS	50-50	32	783	5000000
AMD EBS	50-50	32	780	5000000
AMD EBS	50-50	33	783	5000000
AMD EBS	50-50	33	793	5000000
AMD EBS	50-50	33	785	5000000
AMD EBS	50-50	33	784	5000000
AMD EBS	50-50	33	789	5000000
AMD EBS	50-50	33	790	5000000
AMD EBS	50-50	33	783	5000000
AMD EBS	50-50	33	780	5000000
AMD EBS	50-50	33	780	5000000
AMD EBS	50-50	33	784	5000000
AMD EBS	50-50	34	782	5000000
AMD EBS	50-50	34	782	5000000
AMD EBS	50-50	34	795	5000000
AMD EBS	50-50	34	774	5000000
AMD EBS	50-50	34	797	5000000
AMD EBS	50-50	34	791	5000000
AMD EBS	50-50	34	780	5000000
AMD EBS	50-50	34	801	5000000
AMD EBS	50-50	34	798	5000000
AMD EBS	50-50	34	791	5000000
AMD EBS	50-50	35	797	5000000
AMD EBS	50-50	35	786	5000000
AMD EBS	50-50	35	797	5000000
AMD EBS	50-50	35	793	5000000
AMD EBS	50-50	35	789	5000000
AMD EBS	50-50	35	810	5000000
AMD EBS	50-50	35	785	5000000
AMD EBS	50-50	35	784	5000000
AMD EBS	50-50	35	786	5000000
AMD EBS	50-50	35	794	5000000
AMD EBS	50-50	36	806	5000000
AMD EBS	50-50	36	790	5000000
AMD EBS	50-50	36	812	5000000
AMD EBS	50-50	36	802	5000000
AMD EBS	50-50	36	794	5000000
AMD EBS	50-50	36	800	5000000
AMD EBS	50-50	36	804	5000000
AMD EBS	50-50	36	794	5000000
AMD EBS	50-50	36	800	5000000
AMD EBS	50-50	36	800	5000000
AMD EBS	50-50	37	790	5000000
AMD EBS	50-50	37	816	5000000
AMD EBS	50-50	37	801	5000000
AMD EBS	50-50	37	806	5000000
AMD EBS	50-50	37	802	5000000
AMD EBS	50-50	37	806	5000000
AMD EBS	50-50	37	826	5000000
AMD EBS	50-50	37	802	5000000
AMD EBS	50-50	37	800	5000000
AMD EBS	50-50	37	820	5000000
AMD EBS	50-50	38	804	5000000
AMD EBS	50-50	38	799	5000000
AMD EBS	50-50	38	853	5000000
AMD EBS	50-50	38	811	5000000
AMD EBS	50-50	38	802	5000000
AMD EBS	50-50	38	812	5000000
AMD EBS	50-50	38	812	5000000
AMD EBS	50-50	38	809	5000000
AMD EBS	50-50	38	813	5000000
AMD EBS	50-50	38	810	5000000
AMD EBS	50-50	39	807	5000000
AMD EBS	50-50	39	810	5000000
AMD EBS	50-50	39	815	5000000
AMD EBS	50-50	39	816	5000000
AMD EBS	50-50	39	804	5000000
AMD EBS	50-50	39	803	5000000
AMD EBS	50-50	39	808	5000000
AMD EBS	50-50	39	800	5000000
AMD EBS	50-50	39	818	5000000
AMD EBS	50-50	39	811	5000000
AMD EBS	50-50	40	800	5000000
AMD EBS	50-50	40	833	5000000
AMD EBS	50-50	40	822	5000000
AMD EBS	50-50	40	813	5000000
AMD EBS	50-50	40	839	5000000
AMD EBS	50-50	40	822	5000000
AMD EBS	50-50	40	813	5000000
AMD EBS	50-50	40	816	5000000
AMD EBS	50-50	40	884	5000000
AMD EBS	50-50	40	835	5000000
AMD EBS	50-50	41	849	5000000
AMD EBS	50-50	41	831	5000000
AMD EBS	50-50	41	824	5000000
AMD EBS	50-50	41	823	5000000
AMD EBS	50-50	41	832	5000000
AMD EBS	50-50	41	819	5000000
AMD EBS	50-50	41	816	5000000
AMD EBS	50-50	41	809	5000000
AMD EBS	50-50	41	819	5000000
AMD EBS	50-50	41	840	5000000
AMD EBS	50-50	42	811	5000000
AMD EBS	50-50	42	852	5000000
AMD EBS	50-50	42	825	5000000
AMD EBS	50-50	42	813	5000000
AMD EBS	50-50	42	855	5000000
AMD EBS	50-50	42	824	5000000
AMD EBS	50-50	42	830	5000000
AMD EBS	50-50	42	819	5000000
AMD EBS	50-50	42	828	5000000
AMD EBS	50-50	42	832	5000000
AMD EBS	50-50	43	822	5000000
AMD EBS	50-50	43	820	5000000
AMD EBS	50-50	43	841	5000000
AMD EBS	50-50	43	839	5000000
AMD EBS	50-50	43	833	5000000
AMD EBS	50-50	43	830	5000000
AMD EBS	50-50	43	825	5000000
AMD EBS	50-50	43	842	5000000
AMD EBS	50-50	43	828	5000000
AMD EBS	50-50	43	835	5000000
AMD EBS	50-50	44	841	5000000
AMD EBS	50-50	44	838	5000000
AMD EBS	50-50	44	834	5000000
AMD EBS	50-50	44	836	5000000
AMD EBS	50-50	44	840	5000000
AMD EBS	50-50	44	836	5000000
AMD EBS	50-50	44	847	5000000
AMD EBS	50-50	44	961	5000000
AMD EBS	50-50	44	844	5000000
AMD EBS	50-50	44	830	5000000
AMD EBS	50-50	45	851	5000000
AMD EBS	50-50	45	845	5000000
AMD EBS	50-50	45	838	5000000
AMD EBS	50-50	45	854	5000000
AMD EBS	50-50	45	840	5000000
AMD EBS	50-50	45	862	5000000
AMD EBS	50-50	45	829	5000000
AMD EBS	50-50	45	854	5000000
AMD EBS	50-50	45	829	5000000
AMD EBS	50-50	45	823	5000000
AMD EBS	50-50	46	844	5000000
AMD EBS	50-50	46	855	5000000
AMD EBS	50-50	46	848	5000000
AMD EBS	50-50	46	863	5000000
AMD EBS	50-50	46	842	5000000
AMD EBS	50-50	46	854	5000000
AMD EBS	50-50	46	847	5000000
AMD EBS	50-50	46	843	5000000
AMD EBS	50-50	46	863	5000000
AMD EBS	50-50	46	844	5000000
AMD EBS	50-50	47	850	5000000
AMD EBS	50-50	47	840	5000000
AMD EBS	50-50	47	851	5000000
AMD EBS	50-50	47	857	5000000
AMD EBS	50-50	47	853	5000000
AMD EBS	50-50	47	853	5000000
AMD EBS	50-50	47	861	5000000
AMD EBS	50-50	47	851	5000000
AMD EBS	50-50	47	897	5000000
AMD EBS	50-50	47	864	5000000
AMD EBS	50-50	48	864	5000000
AMD EBS	50-50	48	843	5000000
AMD EBS	50-50	48	850	5000000
AMD EBS	50-50	48	867	5000000
AMD EBS	50-50	48	863	5000000
AMD EBS	50-50	48	856	5000000
AMD EBS	50-50	48	855	5000000
AMD EBS	50-50	48	857	5000000
AMD EBS	50-50	48	857	5000000
AMD EBS	50-50	48	868	5000000
AMD EBS	50-50	49	875	5000000
AMD EBS	50-50	49	868	5000000
AMD EBS	50-50	49	860	5000000
AMD EBS	50-50	49	862	5000000
AMD EBS	50-50	49	870	5000000
AMD EBS	50-50	49	865	5000000
AMD EBS	50-50	49	868	5000000
AMD EBS	50-50	49	870	5000000
AMD EBS	50-50	49	874	5000000
AMD EBS	50-50	49	861	5000000
AMD EBS	50-50	50	876	5000000
AMD EBS	50-50	50	866	5000000
AMD EBS	50-50	50	870	5000000
AMD EBS	50-50	50	860	5000000
AMD EBS	50-50	50	880	5000000
AMD EBS	50-50	50	863	5000000
AMD EBS	50-50	50	864	5000000
AMD EBS	50-50	50	886	5000000
AMD EBS	50-50	50	866	5000000
AMD EBS	50-50	50	873	5000000
AMD EBS	50-50	51	878	5000000
AMD EBS	50-50	51	888	5000000
AMD EBS	50-50	51	880	5000000
AMD EBS	50-50	51	875	5000000
AMD EBS	50-50	51	950	5000000
AMD EBS	50-50	51	879	5000000
AMD EBS	50-50	51	871	5000000
AMD EBS	50-50	51	872	5000000
AMD EBS	50-50	51	864	5000000
AMD EBS	50-50	51	882	5000000
AMD EBS	50-50	52	880	5000000
AMD EBS	50-50	52	896	5000000
AMD EBS	50-50	52	880	5000000
AMD EBS	50-50	52	895	5000000
AMD EBS	50-50	52	909	5000000
AMD EBS	50-50	52	880	5000000
AMD EBS	50-50	52	875	5000000
AMD EBS	50-50	52	882	5000000
AMD EBS	50-50	52	902	5000000
AMD EBS	50-50	52	867	5000000
AMD EBS	50-50	53	879	5000000
AMD EBS	50-50	53	888	5000000
AMD EBS	50-50	53	887	5000000
AMD EBS	50-50	53	889	5000000
AMD EBS	50-50	53	890	5000000
AMD EBS	50-50	53	887	5000000
AMD EBS	50-50	53	889	5000000
AMD EBS	50-50	53	883	5000000
AMD EBS	50-50	53	891	5000000
AMD EBS	50-50	53	882	5000000
AMD EBS	50-50	54	914	5000000
AMD EBS	50-50	54	887	5000000
AMD EBS	50-50	54	903	5000000
AMD EBS	50-50	54	887	5000000
AMD EBS	50-50	54	892	5000000
AMD EBS	50-50	54	891	5000000
AMD EBS	50-50	54	948	5000000
AMD EBS	50-50	54	905	5000000
AMD EBS	50-50	54	893	5000000
AMD EBS	50-50	54	888	5000000
AMD EBS	50-50	55	899	5000000
AMD EBS	50-50	55	914	5000000
AMD EBS	50-50	55	909	5000000
AMD EBS	50-50	55	902	5000000
AMD EBS	50-50	55	914	5000000
AMD EBS	50-50	55	902	5000000
AMD EBS	50-50	55	891	5000000
AMD EBS	50-50	55	902	5000000
AMD EBS	50-50	55	892	5000000
AMD EBS	50-50	55	903	5000000
AMD EBS	50-50	56	895	5000000
AMD EBS	50-50	56	904	5000000
AMD EBS	50-50	56	918	5000000
AMD EBS	50-50	56	909	5000000
AMD EBS	50-50	56	913	5000000
AMD EBS	50-50	56	907	5000000
AMD EBS	50-50	56	917	5000000
AMD EBS	50-50	56	917	5000000
AMD EBS	50-50	56	904	5000000
AMD EBS	50-50	56	922	5000000
AMD EBS	50-50	57	912	5000000
AMD EBS	50-50	57	912	5000000
AMD EBS	50-50	57	919	5000000
AMD EBS	50-50	57	915	5000000
AMD EBS	50-50	57	911	5000000
AMD EBS	50-50	57	908	5000000
AMD EBS	50-50	57	909	5000000
AMD EBS	50-50	57	906	5000000
AMD EBS	50-50	57	905	5000000
AMD EBS	50-50	57	907	5000000
AMD EBS	50-50	58	921	5000000
AMD EBS	50-50	58	921	5000000
AMD EBS	50-50	58	922	5000000
AMD EBS	50-50	58	905	5000000
AMD EBS	50-50	58	929	5000000
AMD EBS	50-50	58	924	5000000
AMD EBS	50-50	58	918	5000000
AMD EBS	50-50	58	927	5000000
AMD EBS	50-50	58	906	5000000
AMD EBS	50-50	58	937	5000000
AMD EBS	50-50	59	918	5000000
AMD EBS	50-50	59	923	5000000
AMD EBS	50-50	59	927	5000000
AMD EBS	50-50	59	923	5000000
AMD EBS	50-50	59	922	5000000
AMD EBS	50-50	59	921	5000000
AMD EBS	50-50	59	916	5000000
AMD EBS	50-50	59	917	5000000
AMD EBS	50-50	59	936	5000000
AMD EBS	50-50	59	933	5000000
AMD EBS	50-50	60	928	5000000
AMD EBS	50-50	60	929	5000000
AMD EBS	50-50	60	917	5000000
AMD EBS	50-50	60	936	5000000
AMD EBS	50-50	60	937	5000000
AMD EBS	50-50	60	925	5000000
AMD EBS	50-50	60	925	5000000
AMD EBS	50-50	60	936	5000000
AMD EBS	50-50	60	938	5000000
AMD EBS	50-50	60	945	5000000
AMD EBS	50-50	61	939	5000000
AMD EBS	50-50	61	935	5000000
AMD EBS	50-50	61	944	5000000
AMD EBS	50-50	61	944	5000000
AMD EBS	50-50	61	926	5000000
AMD EBS	50-50	61	940	5000000
AMD EBS	50-50	61	932	5000000
AMD EBS	50-50	61	934	5000000
AMD EBS	50-50	61	933	5000000
AMD EBS	50-50	61	939	5000000
AMD EBS	50-50	62	939	5000000
AMD EBS	50-50	62	939	5000000
AMD EBS	50-50	62	939	5000000
AMD EBS	50-50	62	937	5000000
AMD EBS	50-50	62	942	5000000
AMD EBS	50-50	62	945	5000000
AMD EBS	50-50	62	941	5000000
AMD EBS	50-50	62	938	5000000
AMD EBS	50-50	62	940	5000000
AMD EBS	50-50	62	946	5000000
AMD EBS	50-50	63	954	5000000
AMD EBS	50-50	63	948	5000000
AMD EBS	50-50	63	944	5000000
AMD EBS	50-50	63	947	5000000
AMD EBS	50-50	63	943	5000000
AMD EBS	50-50	63	936	5000000
AMD EBS	50-50	63	947	5000000
AMD EBS	50-50	63	944	5000000
AMD EBS	50-50	63	945	5000000
AMD EBS	50-50	63	951	5000000
AMD EBS	50-50	64	959	5000000
AMD EBS	50-50	64	949	5000000
AMD EBS	50-50	64	944	5000000
AMD EBS	50-50	64	956	5000000
AMD EBS	50-50	64	956	5000000
AMD EBS	50-50	64	950	5000000
AMD EBS	50-50	64	950	5000000
AMD EBS	50-50	64	949	5000000
AMD EBS	50-50	64	941	5000000
AMD EBS	50-50	64	951	5000000
AMD EBS	25-75	1	493	5000000
AMD EBS	25-75	1	480	5000000
AMD EBS	25-75	1	486	5000000
AMD EBS	25-75	1	483	5000000
AMD EBS	25-75	1	488	5000000
AMD EBS	25-75	1	478	5000000
AMD EBS	25-75	1	488	5000000
AMD EBS	25-75	1	478	5000000
AMD EBS	25-75	1	482	5000000
AMD EBS	25-75	1	487	5000000
AMD EBS	25-75	2	486	5000000
AMD EBS	25-75	2	484	5000000
AMD EBS	25-75	2	486	5000000
AMD EBS	25-75	2	486	5000000
AMD EBS	25-75	2	486	5000000
AMD EBS	25-75	2	488	5000000
AMD EBS	25-75	2	487	5000000
AMD EBS	25-75	2	487	5000000
AMD EBS	25-75	2	484	5000000
AMD EBS	25-75	2	486	5000000
AMD EBS	25-75	3	487	5000000
AMD EBS	25-75	3	487	5000000
AMD EBS	25-75	3	484	5000000
AMD EBS	25-75	3	488	5000000
AMD EBS	25-75	3	489	5000000
AMD EBS	25-75	3	485	5000000
AMD EBS	25-75	3	484	5000000
AMD EBS	25-75	3	487	5000000
AMD EBS	25-75	3	484	5000000
AMD EBS	25-75	3	487	5000000
AMD EBS	25-75	4	488	5000000
AMD EBS	25-75	4	486	5000000
AMD EBS	25-75	4	488	5000000
AMD EBS	25-75	4	486	5000000
AMD EBS	25-75	4	489	5000000
AMD EBS	25-75	4	488	5000000
AMD EBS	25-75	4	495	5000000
AMD EBS	25-75	4	491	5000000
AMD EBS	25-75	4	490	5000000
AMD EBS	25-75	4	489	5000000
AMD EBS	25-75	5	491	5000000
AMD EBS	25-75	5	491	5000000
AMD EBS	25-75	5	489	5000000
AMD EBS	25-75	5	497	5000000
AMD EBS	25-75	5	493	5000000
AMD EBS	25-75	5	493	5000000
AMD EBS	25-75	5	524	5000000
AMD EBS	25-75	5	491	5000000
AMD EBS	25-75	5	494	5000000
AMD EBS	25-75	5	498	5000000
AMD EBS	25-75	6	498	5000000
AMD EBS	25-75	6	494	5000000
AMD EBS	25-75	6	494	5000000
AMD EBS	25-75	6	493	5000000
AMD EBS	25-75	6	497	5000000
AMD EBS	25-75	6	500	5000000
AMD EBS	25-75	6	498	5000000
AMD EBS	25-75	6	538	5000000
AMD EBS	25-75	6	510	5000000
AMD EBS	25-75	6	498	5000000
AMD EBS	25-75	7	523	5000000
AMD EBS	25-75	7	520	5000000
AMD EBS	25-75	7	530	5000000
AMD EBS	25-75	7	502	5000000
AMD EBS	25-75	7	506	5000000
AMD EBS	25-75	7	553	5000000
AMD EBS	25-75	7	534	5000000
AMD EBS	25-75	7	515	5000000
AMD EBS	25-75	7	534	5000000
AMD EBS	25-75	7	511	5000000
AMD EBS	25-75	8	526	5000000
AMD EBS	25-75	8	504	5000000
AMD EBS	25-75	8	514	5000000
AMD EBS	25-75	8	522	5000000
AMD EBS	25-75	8	535	5000000
AMD EBS	25-75	8	551	5000000
AMD EBS	25-75	8	534	5000000
AMD EBS	25-75	8	568	5000000
AMD EBS	25-75	8	572	5000000
AMD EBS	25-75	8	548	5000000
AMD EBS	25-75	9	586	5000000
AMD EBS	25-75	9	570	5000000
AMD EBS	25-75	9	599	5000000
AMD EBS	25-75	9	544	5000000
AMD EBS	25-75	9	561	5000000
AMD EBS	25-75	9	571	5000000
AMD EBS	25-75	9	563	5000000
AMD EBS	25-75	9	559	5000000
AMD EBS	25-75	9	570	5000000
AMD EBS	25-75	9	571	5000000
AMD EBS	25-75	10	563	5000000
AMD EBS	25-75	10	592	5000000
AMD EBS	25-75	10	567	5000000
AMD EBS	25-75	10	604	5000000
AMD EBS	25-75	10	555	5000000
